"","rules","support","confidence","coverage","lift","count"
"1","{liquor,red/blush wine} => {bottled beer}",0.00193187595322827,0.904761904761905,0.00213523131672598,11.2352693602694,19
"2","{cereals,curd} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"3","{bottled beer,soups} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"4","{house keeping products,whipped/sour cream} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"5","{pastry,sweet spreads} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"6","{rice,sugar} => {whole milk}",0.00122013218098627,1,0.00122013218098627,3.91364902506964,12
"7","{bottled water,rice} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"8","{canned fish,hygiene articles} => {whole milk}",0.00111845449923742,1,0.00111845449923742,3.91364902506964,11
"9","{grapes,onions} => {other vegetables}",0.00111845449923742,0.916666666666667,0.00122013218098627,4.73747591522158,11
"10","{hard cheese,oil} => {other vegetables}",0.00111845449923742,0.916666666666667,0.00122013218098627,4.73747591522158,11
"11","{butter,rice,root vegetables} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"12","{fruit/vegetable juice,herbs,whole milk} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"13","{citrus fruit,herbs,tropical fruit} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"14","{flour,root vegetables,whipped/sour cream} => {whole milk}",0.00172852058973055,1,0.00172852058973055,3.91364902506964,17
"15","{butter,domestic eggs,soft cheese} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"16","{soft cheese,tropical fruit,whipped/sour cream} => {other vegetables}",0.00122013218098627,0.923076923076923,0.00132180986273513,4.77060511742593,12
"17","{root vegetables,soft cheese,whipped/sour cream} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"18","{citrus fruit,root vegetables,soft cheese} => {other vegetables}",0.00101677681748856,1,0.00101677681748856,5.16815554387809,10
"19","{frankfurter,frozen meals,tropical fruit} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"20","{frankfurter,frozen meals,tropical fruit} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"21","{butter,frozen meals,tropical fruit} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"22","{hard cheese,tropical fruit,whipped/sour cream} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"23","{butter milk,pork,whole milk} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"24","{butter milk,fruit/vegetable juice,pip fruit} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"25","{frankfurter,root vegetables,sliced cheese} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"26","{butter,sliced cheese,whipped/sour cream} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"27","{coffee,oil,yogurt} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"28","{napkins,onions,root vegetables} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"29","{berries,butter,sausage} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"30","{hamburger meat,tropical fruit,whipped/sour cream} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"31","{butter,hygiene articles,napkins} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"32","{butter,hygiene articles,pip fruit} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"33","{butter,hygiene articles,tropical fruit} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"34","{domestic eggs,hygiene articles,tropical fruit} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"35","{hygiene articles,root vegetables,whipped/sour cream} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"36","{hygiene articles,pip fruit,root vegetables} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"37","{cream cheese,domestic eggs,sugar} => {whole milk}",0.00111845449923742,1,0.00111845449923742,3.91364902506964,11
"38","{cream cheese,other vegetables,sugar} => {whole milk}",0.00152516522623284,0.9375,0.0016268429079817,3.66904596100279,15
"39","{curd,domestic eggs,sugar} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"40","{citrus fruit,domestic eggs,sugar} => {whole milk}",0.00142348754448399,0.933333333333333,0.00152516522623284,3.652739090065,14
"41","{domestic eggs,sugar,tropical fruit} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"42","{domestic eggs,sugar,yogurt} => {whole milk}",0.00142348754448399,0.933333333333333,0.00152516522623284,3.652739090065,14
"43","{root vegetables,sugar,whipped/sour cream} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"44","{pork,rolls/buns,waffles} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"45","{long life bakery product,napkins,whipped/sour cream} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"46","{long life bakery product,napkins,tropical fruit} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"47","{butter,long life bakery product,sausage} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"48","{dessert,tropical fruit,whipped/sour cream} => {other vegetables}",0.00111845449923742,0.916666666666667,0.00122013218098627,4.73747591522158,11
"49","{cream cheese,domestic eggs,napkins} => {whole milk}",0.00111845449923742,1,0.00111845449923742,3.91364902506964,11
"50","{butter,cream cheese,root vegetables} => {yogurt}",0.00101677681748856,0.909090909090909,0.00111845449923742,6.51669758812616,10
"51","{butter,cream cheese,root vegetables} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"52","{cream cheese,pip fruit,whipped/sour cream} => {whole milk}",0.00132180986273513,0.928571428571429,0.00142348754448399,3.63410266613609,13
"53","{cream cheese,pip fruit,sausage} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"54","{citrus fruit,cream cheese,root vegetables} => {other vegetables}",0.00122013218098627,0.923076923076923,0.00132180986273513,4.77060511742593,12
"55","{butter,root vegetables,white bread} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"56","{butter,coffee,whipped/sour cream} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"57","{coffee,domestic eggs,root vegetables} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"58","{butter,curd,domestic eggs} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"59","{butter,citrus fruit,curd} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"60","{bottled beer,domestic eggs,margarine} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"61","{brown bread,pip fruit,whipped/sour cream} => {other vegetables}",0.00111845449923742,1,0.00111845449923742,5.16815554387809,11
"62","{domestic eggs,fruit/vegetable juice,margarine} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"63","{butter,pip fruit,whipped/sour cream} => {whole milk}",0.00183019827147941,0.9,0.00203355363497712,3.52228412256267,18
"64","{butter,soda,whipped/sour cream} => {other vegetables}",0.00132180986273513,0.928571428571429,0.00142348754448399,4.79900157645822,13
"65","{butter,pastry,pip fruit} => {other vegetables}",0.00132180986273513,0.928571428571429,0.00142348754448399,4.79900157645822,13
"66","{domestic eggs,tropical fruit,whipped/sour cream} => {whole milk}",0.00183019827147941,0.9,0.00203355363497712,3.52228412256267,18
"67","{fruit/vegetable juice,tropical fruit,whipped/sour cream} => {other vegetables}",0.00193187595322827,0.904761904761905,0.00213523131672598,4.67595025398494,19
"68","{other vegetables,rice,root vegetables,yogurt} => {whole milk}",0.00132180986273513,0.928571428571429,0.00142348754448399,3.63410266613609,13
"69","{rice,root vegetables,whole milk,yogurt} => {other vegetables}",0.00132180986273513,0.928571428571429,0.00142348754448399,4.79900157645822,13
"70","{herbs,other vegetables,root vegetables,tropical fruit} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"71","{grapes,tropical fruit,whole milk,yogurt} => {other vegetables}",0.00101677681748856,1,0.00101677681748856,5.16815554387809,10
"72","{frozen meals,pip fruit,tropical fruit,yogurt} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"73","{hard cheese,other vegetables,root vegetables,yogurt} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"74","{ham,pip fruit,tropical fruit,yogurt} => {other vegetables}",0.00101677681748856,1,0.00101677681748856,5.16815554387809,10
"75","{ham,pip fruit,tropical fruit,whole milk} => {other vegetables}",0.00111845449923742,1,0.00111845449923742,5.16815554387809,11
"76","{butter,sliced cheese,tropical fruit,yogurt} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"77","{butter,sliced cheese,tropical fruit,whole milk} => {yogurt}",0.00101677681748856,0.909090909090909,0.00111845449923742,6.51669758812616,10
"78","{oil,root vegetables,tropical fruit,yogurt} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"79","{oil,root vegetables,tropical fruit,yogurt} => {whole milk}",0.00111845449923742,1,0.00111845449923742,3.91364902506964,11
"80","{oil,other vegetables,root vegetables,yogurt} => {whole milk}",0.00142348754448399,1,0.00142348754448399,3.91364902506964,14
"81","{oil,root vegetables,whole milk,yogurt} => {other vegetables}",0.00142348754448399,0.933333333333333,0.00152516522623284,4.82361184095288,14
"82","{other vegetables,root vegetables,waffles,yogurt} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"83","{cream cheese,curd,other vegetables,whipped/sour cream} => {yogurt}",0.00101677681748856,0.909090909090909,0.00111845449923742,6.51669758812616,10
"84","{citrus fruit,cream cheese,whipped/sour cream,whole milk} => {other vegetables}",0.00111845449923742,0.916666666666667,0.00122013218098627,4.73747591522158,11
"85","{cream cheese,other vegetables,pip fruit,root vegetables} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"86","{cream cheese,other vegetables,pip fruit,yogurt} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"87","{butter,tropical fruit,white bread,yogurt} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"88","{butter,other vegetables,tropical fruit,white bread} => {yogurt}",0.00101677681748856,0.909090909090909,0.00111845449923742,6.51669758812616,10
"89","{butter,other vegetables,root vegetables,white bread} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"90","{butter,root vegetables,white bread,whole milk} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"91","{citrus fruit,frozen vegetables,other vegetables,yogurt} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"92","{beef,rolls/buns,tropical fruit,yogurt} => {whole milk}",0.00132180986273513,0.928571428571429,0.00142348754448399,3.63410266613609,13
"93","{curd,domestic eggs,tropical fruit,yogurt} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"94","{citrus fruit,curd,tropical fruit,yogurt} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"95","{butter,napkins,other vegetables,whipped/sour cream} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"96","{butter,other vegetables,pork,whipped/sour cream} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"97","{butter,other vegetables,pork,root vegetables} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"98","{frankfurter,root vegetables,tropical fruit,yogurt} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"99","{brown bread,other vegetables,pip fruit,root vegetables} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"100","{brown bread,other vegetables,rolls/buns,root vegetables} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"101","{butter,domestic eggs,other vegetables,whipped/sour cream} => {whole milk}",0.00122013218098627,1,0.00122013218098627,3.91364902506964,12
"102","{butter,domestic eggs,tropical fruit,yogurt} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"103","{butter,domestic eggs,root vegetables,yogurt} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"104","{butter,fruit/vegetable juice,tropical fruit,whipped/sour cream} => {other vegetables}",0.00101677681748856,1,0.00101677681748856,5.16815554387809,10
"105","{butter,soda,whipped/sour cream,whole milk} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"106","{bottled water,butter,citrus fruit,other vegetables} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"107","{newspapers,rolls/buns,soda,whole milk} => {other vegetables}",0.00101677681748856,1,0.00101677681748856,5.16815554387809,10
"108","{domestic eggs,other vegetables,pip fruit,whipped/sour cream} => {whole milk}",0.00122013218098627,0.923076923076923,0.00132180986273513,3.61259910006428,12
"109","{citrus fruit,domestic eggs,whipped/sour cream,whole milk} => {other vegetables}",0.00122013218098627,0.923076923076923,0.00132180986273513,4.77060511742593,12
"110","{domestic eggs,tropical fruit,whipped/sour cream,yogurt} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"111","{domestic eggs,other vegetables,tropical fruit,whipped/sour cream} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"112","{citrus fruit,domestic eggs,other vegetables,tropical fruit} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"113","{fruit/vegetable juice,tropical fruit,whipped/sour cream,yogurt} => {other vegetables}",0.00111845449923742,0.916666666666667,0.00122013218098627,4.73747591522158,11
"114","{fruit/vegetable juice,tropical fruit,whipped/sour cream,whole milk} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"115","{fruit/vegetable juice,pip fruit,root vegetables,yogurt} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"116","{citrus fruit,fruit/vegetable juice,other vegetables,soda} => {root vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,8.34040027137042,10
"117","{citrus fruit,pastry,rolls/buns,whipped/sour cream} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"118","{citrus fruit,root vegetables,tropical fruit,whipped/sour cream} => {other vegetables}",0.00122013218098627,1,0.00122013218098627,5.16815554387809,12
"119","{bottled water,other vegetables,pip fruit,root vegetables} => {whole milk}",0.00111845449923742,1,0.00111845449923742,3.91364902506964,11
"120","{pastry,root vegetables,tropical fruit,yogurt} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"121","{root vegetables,sausage,tropical fruit,yogurt} => {whole milk}",0.00152516522623284,0.9375,0.0016268429079817,3.66904596100279,15
"122","{rolls/buns,root vegetables,sausage,tropical fruit} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"123","{bottled water,rolls/buns,root vegetables,tropical fruit} => {whole milk}",0.00111845449923742,0.916666666666667,0.00122013218098627,3.58751160631383,11
"124","{oil,other vegetables,root vegetables,tropical fruit,yogurt} => {whole milk}",0.00101677681748856,1,0.00101677681748856,3.91364902506964,10
"125","{oil,root vegetables,tropical fruit,whole milk,yogurt} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"126","{oil,other vegetables,tropical fruit,whole milk,yogurt} => {root vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,8.34040027137042,10
"127","{butter,domestic eggs,other vegetables,tropical fruit,yogurt} => {whole milk}",0.00101677681748856,0.909090909090909,0.00111845449923742,3.55786275006331,10
"128","{citrus fruit,root vegetables,whipped/sour cream,whole milk,yogurt} => {other vegetables}",0.00101677681748856,0.909090909090909,0.00111845449923742,4.69832322170735,10
"129","{citrus fruit,root vegetables,tropical fruit,whole milk,yogurt} => {other vegetables}",0.00142348754448399,0.933333333333333,0.00152516522623284,4.82361184095288,14
